,ID,Name,Latitude,Longitude
192,SN19430,E18 SANDVIKA,59.8923,10.5403
193,SN24230,RV7 SOKNA,60.2225,9.8408
194,SN25540,BAKKO I HOL,60.6792,8.0058
195,SN3460,MYSEN,59.55,11.33
196,SN3200,BATERØD,59.3072,11.1338
197,SN26975,SVELVIK - BOKERØYA,59.591,10.4053
198,SN3750,SPYDEBERG,59.62,11.09
199,SN11125,E6 ANDELVA,60.2852,11.1358
200,SN20330,JEVNAKER,60.23,10.4
201,SN25040,RV52 EIKREDAMMEN,60.786,8.7443
202,SN3050,FREDRIKSTAD,59.23,10.92
203,SN26350,SIGDAL - NEDRE EGGEDAL,60.1358,9.4391
204,SN25112,HEMSEDAL - HOLLEKOLTEN,60.8705,8.5175
